geo_level,geo_name,year,state_name,pct_black_alone,pct_owner_occupied_black_alone,rpl_themes,quartiles_rpl_themes
county,"Perry County, Ohio",2023,Ohio,0.2,0.1,0.369000000,26-50% of geographies
county,"Hitchcock County, Nebraska",2023,Nebraska,0.1,0.0,0.257000000,26-50% of geographies
county,"Ward County, North Dakota",2023,North Dakota,4.1,2.4,0.257000000,26-50% of geographies
county,"Bracken County, Kentucky",2023,Kentucky,1.2,0.7,0.257000000,26-50% of geographies
county,"Ashland County, Wisconsin",2023,Wisconsin,0.8,0.0,0.485000000,26-50% of geographies
county,"Gilmer County, West Virginia",2023,West Virginia,14.3,0.8,0.485000000,26-50% of geographies
county,"Juniata County, Pennsylvania",2023,Pennsylvania,1.1,0.2,0.485000000,26-50% of geographies
county,"Rankin County, Mississippi",2023,Mississippi,21.6,16.2,0.373000000,26-50% of geographies
county,"Cherokee County, North Carolina",2023,North Carolina,1.5,0.7,0.373000000,26-50% of geographies
county,"Lincoln County, Tennessee",2023,Tennessee,5.8,3.7,0.373000000,26-50% of geographies
county,"Lee County, Georgia",2023,Georgia,23.4,18.3,0.261000000,26-50% of geographies
county,"Kanabec County, Minnesota",2023,Minnesota,0.5,0.1,0.261000000,26-50% of geographies
county,"Ritchie County, West Virginia",2023,West Virginia,0.1,0.1,0.261000000,26-50% of geographies
county,"Barrow County, Georgia",2023,Georgia,13.2,11.5,0.489000000,26-50% of geographies
county,"Montgomery County, Maryland",2023,Maryland,18.6,12.3,0.489000000,26-50% of geographies
county,"Houston County, Georgia",2023,Georgia,31.6,23.2,0.489000000,26-50% of geographies
county,"Iredell County, North Carolina",2023,North Carolina,11.6,7.5,0.377000000,26-50% of geographies
