geo_level,geo_name,year,state_name,pct_black_alone,pct_homeownership_black_alone,median_home_value_owner_occupied_houses_with_mortages,median_home_value_owner_occupied_houses_without_mortages,quartiles_median_home_value_owner_occupied_houses_with_mortages,quartiles_median_home_value_owner_occupied_houses_without_mortages
zcta,70032,2023,,18.2,42.9,213900.0,211300.0,26-50% of geographies,51-75% of geographies
zcta,53570,2023,,0.4,24.8,240700.0,213300.0,51-75% of geographies,51-75% of geographies
zcta,48159,2023,,4.6,99.4,246600.0,213500.0,51-75% of geographies,51-75% of geographies
zcta,39507,2023,,24.7,20.6,225500.0,213900.0,26-50% of geographies,51-75% of geographies
zcta,70749,2023,,11.9,100.0,401500.0,214800.0,Top 25% of geographies,51-75% of geographies
zcta,54245,2023,,0.0,,203100.0,215500.0,26-50% of geographies,51-75% of geographies
zcta,73750,2023,,0.5,,220700.0,217800.0,26-50% of geographies,51-75% of geographies
zcta,47459,2023,,1.2,,173200.0,218200.0,26-50% of geographies,51-75% of geographies
zcta,78109,2023,,22.4,66.8,254300.0,219000.0,51-75% of geographies,51-75% of geographies
zcta,67120,2023,,0.0,,223400.0,220200.0,26-50% of geographies,51-75% of geographies
zcta,70611,2023,,10.9,82.0,263700.0,220200.0,51-75% of geographies,51-75% of geographies
zcta,25545,2023,,1.9,99.9,171900.0,221600.0,26-50% of geographies,51-75% of geographies
zcta,58565,2023,,0.0,,214300.0,223300.0,26-50% of geographies,51-75% of geographies
zcta,32754,2023,,4.6,96.8,297800.0,223300.0,51-75% of geographies,51-75% of geographies
zcta,29212,2023,,25.8,47.2,220800.0,224100.0,26-50% of geographies,51-75% of geographies
zcta,05905,2023,,0.0,,277100.0,224100.0,51-75% of geographies,51-75% of geographies
zcta,19492,2023,,0.0,,538500.0,226400.0,Top 25% of geographies,51-75% of geographies
zcta,48327,2023,,6.5,35.8,246800.0,227500.0,51-75% of geographies,51-75% of geographies
zcta,99207,2023,,4.5,24.4,256900.0,228800.0,51-75% of geographies,51-75% of geographies
zcta,45429,2023,,4.8,21.1,217800.0,229900.0,26-50% of geographies,51-75% of geographies
zcta,44062,2023,,0.5,0.0,201000.0,230800.0,26-50% of geographies,51-75% of geographies
zcta,57002,2023,,0.0,,224200.0,231300.0,26-50% of geographies,51-75% of geographies
zcta,37725,2023,,1.5,98.9,239100.0,231400.0,51-75% of geographies,51-75% of geographies
zcta,83830,2023,,0.0,,,231500.0,,51-75% of geographies
zcta,83332,2023,,0.1,,217100.0,232400.0,26-50% of geographies,51-75% of geographies
zcta,38555,2023,,2.0,9.1,211800.0,233700.0,26-50% of geographies,51-75% of geographies
zcta,93207,2023,,0.4,,,234200.0,,51-75% of geographies
zcta,65635,2023,,0.8,,189800.0,235700.0,26-50% of geographies,51-75% of geographies
zcta,85145,2023,,0.0,,263700.0,236100.0,51-75% of geographies,51-75% of geographies
zcta,92240,2023,,7.9,36.4,332000.0,236100.0,51-75% of geographies,51-75% of geographies
zcta,23315,2023,,4.4,98.2,264200.0,237500.0,51-75% of geographies,51-75% of geographies
zcta,12028,2023,,0.0,,196600.0,240300.0,26-50% of geographies,51-75% of geographies
zcta,14132,2023,,0.5,,272000.0,242200.0,51-75% of geographies,51-75% of geographies
zcta,24153,2023,,6.5,45.5,254000.0,243500.0,51-75% of geographies,51-75% of geographies
zcta,98643,2023,,3.9,,201700.0,245100.0,26-50% of geographies,51-75% of geographies
zcta,60171,2023,,0.1,,243100.0,247200.0,51-75% of geographies,51-75% of geographies
zcta,08234,2023,,9.5,66.9,298300.0,247200.0,51-75% of geographies,51-75% of geographies
zcta,99568,2023,,0.0,,336100.0,250800.0,51-75% of geographies,51-75% of geographies
zcta,49087,2023,,0.3,0.0,292400.0,253100.0,51-75% of geographies,51-75% of geographies
zcta,60645,2023,,14.8,25.7,340900.0,258300.0,51-75% of geographies,51-75% of geographies
zcta,54941,2023,,0.9,,275000.0,265300.0,51-75% of geographies,51-75% of geographies
zcta,93225,2023,,0.0,,352600.0,265700.0,51-75% of geographies,51-75% of geographies
zcta,19518,2023,,3.6,85.8,358000.0,268600.0,51-75% of geographies,51-75% of geographies
zcta,78130,2023,,2.3,56.9,312400.0,269500.0,51-75% of geographies,51-75% of geographies
zcta,58501,2023,,3.8,8.6,279900.0,271000.0,51-75% of geographies,51-75% of geographies
zcta,84072,2023,,0.0,,264300.0,278100.0,51-75% of geographies,51-75% of geographies
zcta,32664,2023,,9.6,0.0,470800.0,278100.0,Top 25% of geographies,51-75% of geographies
zcta,95939,2023,,4.3,,,279200.0,,51-75% of geographies
zcta,56484,2023,,0.6,,297000.0,279800.0,51-75% of geographies,51-75% of geographies
zcta,55811,2023,,1.2,87.9,317700.0,280400.0,51-75% of geographies,51-75% of geographies
zcta,34746,2023,,14.5,76.8,351200.0,281100.0,51-75% of geographies,51-75% of geographies
zcta,04048,2023,,3.0,,261400.0,283300.0,51-75% of geographies,51-75% of geographies
zcta,03771,2023,,0.0,,237200.0,283700.0,51-75% of geographies,51-75% of geographies
zcta,03464,2023,,0.0,,295200.0,286000.0,51-75% of geographies,51-75% of geographies
zcta,33603,2023,,17.8,36.3,364100.0,287200.0,Top 25% of geographies,51-75% of geographies
zcta,23336,2023,,0.0,,347600.0,288900.0,51-75% of geographies,51-75% of geographies
zcta,45053,2023,,0.0,,327400.0,292300.0,51-75% of geographies,51-75% of geographies
zcta,12719,2023,,0.4,,175000.0,298800.0,26-50% of geographies,51-75% of geographies
zcta,89502,2023,,3.7,5.6,410300.0,300400.0,Top 25% of geographies,51-75% of geographies
